scenario,variable,shock_id,total,l1
GIRF — aluminium to uncertainty shock,nickel,crude_wti,7.415257564158445e-4,0.010460115209803568
GIRF — aluminium to uncertainty shock,nickel,lead,4.541148357568481e-4,0.009724741433956356
GIRF — aluminium to uncertainty shock,nickel,ngas_us,2.325625850228344e-4,0.022332016937154014
GIRF — aluminium to uncertainty shock,nickel,tin,8.217937959998419e-5,0.022955537920332628
GIRF — aluminium to uncertainty shock,nickel,copper,6.73682266241031e-5,0.06192269906517999
GIRF — aluminium to uncertainty shock,platinum,platinum,-0.014200154247929034,0.40522559356604
GIRF — aluminium to uncertainty shock,platinum,soybeans,-0.007306575784109112,0.04123318108956469
GIRF — aluminium to uncertainty shock,platinum,copper,-0.0042279070710752875,0.02102113068806998
GIRF — aluminium to uncertainty shock,platinum,maize,-0.0040735626394242,0.0635502262779877
GIRF — aluminium to uncertainty shock,platinum,wheat_us_hrw,-0.0037182576862241647,0.0373676086187657
GIRF — aluminium to uncertainty shock,platinum,tin,-0.003256724297423067,0.012130606589048151
GIRF — aluminium to uncertainty shock,platinum,zinc,-0.0029393123043224964,0.014620833478719345
GIRF — aluminium to uncertainty shock,platinum,aluminium,-0.002503843933232545,0.011734467394471145
GIRF — aluminium to uncertainty shock,platinum,lead,-0.0022884674660557346,0.018957592310027208
GIRF — aluminium to uncertainty shock,platinum,ngas_us,-0.0022841537271730983,0.013006203234017195
GIRF — aluminium to uncertainty shock,platinum,sugar_wld,-0.001913988315803191,0.020732431866347246
GIRF — aluminium to uncertainty shock,platinum,nickel,-0.0014177338027809067,0.011184074300883598
GIRF — aluminium to uncertainty shock,platinum,crude_wti,-0.0013087991366241758,0.009401894891141896
GIRF — aluminium to uncertainty shock,platinum,coffee_arabic,-0.0012749668725055147,0.017255093696610463
GIRF — aluminium to uncertainty shock,platinum,cocoa,-0.0010808837412519079,0.010813394601505094
GIRF — aluminium to uncertainty shock,platinum,cotton_a_indx,-9.273767699600121e-4,0.015058824590113712
GIRF — aluminium to uncertainty shock,platinum,gold,-8.554708207344813e-4,0.009122768481426076
GIRF — aluminium to uncertainty shock,platinum,silver,-3.581938059858372e-4,0.0035360609467402684
GIRF — aluminium to uncertainty shock,silver,maize,-0.011177883667933456,0.01688347571245591
GIRF — aluminium to uncertainty shock,silver,tin,-0.008912430611731048,0.014971217610015079
GIRF — aluminium to uncertainty shock,silver,soybeans,-0.004874909455554437,0.009219407139421312
GIRF — aluminium to uncertainty shock,silver,zinc,-0.0048048044637965985,0.010172858144367029
GIRF — aluminium to uncertainty shock,silver,platinum,-0.0039788580378697595,0.007853128080752395
GIRF — aluminium to uncertainty shock,silver,wheat_us_hrw,-0.003925038268320207,0.006584685134203596
GIRF — aluminium to uncertainty shock,silver,lead,-0.0038580791098304697,0.007389406606634562
GIRF — aluminium to uncertainty shock,silver,coffee_arabic,-0.003594370338391746,0.006514535200619074
GIRF — aluminium to uncertainty shock,silver,gold,-0.0030875733823913227,0.007311531711595099
GIRF — aluminium to uncertainty shock,silver,ngas_us,-0.002972733352843866,0.008218823946729691
GIRF — aluminium to uncertainty shock,silver,copper,-0.00285492135958841,0.004524970132142754
GIRF — aluminium to uncertainty shock,silver,cotton_a_indx,-0.0026828223512573115,0.019995314387918028
GIRF — aluminium to uncertainty shock,silver,silver,0.002633816759880196,0.20505135374688097
GIRF — aluminium to uncertainty shock,silver,nickel,-0.0023575525360795212,0.004061801576073609
GIRF — aluminium to uncertainty shock,silver,cocoa,-0.001138091215226212,0.0027321139249909115
GIRF — aluminium to uncertainty shock,silver,sugar_wld,-7.432943396512421e-4,0.008986741617873169
GIRF — aluminium to uncertainty shock,silver,aluminium,-5.359740183765317e-4,0.0017353319958493838
GIRF — aluminium to uncertainty shock,silver,crude_wti,-2.8697911062160306e-4,0.0018126050546551887
GIRF — aluminium to uncertainty shock,soybeans,soybeans,0.05402143830047913,0.23136349060172884
GIRF — aluminium to uncertainty shock,soybeans,zinc,0.004662774917233783,0.027899740143464073
GIRF — aluminium to uncertainty shock,soybeans,lead,0.0034898893961141583,0.02650459559423937
GIRF — aluminium to uncertainty shock,soybeans,cotton_a_indx,0.001673080464339619,0.011068131978389757
GIRF — aluminium to uncertainty shock,soybeans,aluminium,0.001136573268387814,0.005676891960609992
GIRF — aluminium to uncertainty shock,soybeans,sugar_wld,-0.0010926291113664268,0.00291385911391274
GIRF — aluminium to uncertainty shock,soybeans,tin,-8.877455104822521e-4,0.012024878364742706
GIRF — aluminium to uncertainty shock,soybeans,coffee_arabic,-8.729153852351775e-4,0.004286661818050068
GIRF — aluminium to uncertainty shock,soybeans,nickel,4.950360452622097e-4,0.007861062360351043
GIRF — aluminium to uncertainty shock,soybeans,maize,-4.336979049769631e-4,0.002882383593616124
GIRF — aluminium to uncertainty shock,soybeans,platinum,-4.15221124527928e-4,0.020388719778161812
GIRF — aluminium to uncertainty shock,soybeans,crude_wti,-3.488689812833065e-4,7.272601788554335e-4
GIRF — aluminium to uncertainty shock,soybeans,gold,-3.0615357103456e-4,0.0024941440177967634
GIRF — aluminium to uncertainty shock,soybeans,cocoa,1.9412287190945655e-4,0.0051183583854241144
GIRF — aluminium to uncertainty shock,soybeans,wheat_us_hrw,-1.2333634154292641e-4,0.00321953018141676
GIRF — aluminium to uncertainty shock,soybeans,copper,1.2132739533106172e-4,0.0016893731347075464
GIRF — aluminium to uncertainty shock,soybeans,silver,6.548714659546429e-5,0.002128164390021185
GIRF — aluminium to uncertainty shock,soybeans,ngas_us,1.2802593546623435e-5,0.004205334716728541
GIRF — aluminium to uncertainty shock,sugar_wld,sugar_wld,0.17338963355730738,0.29583329933337993
GIRF — aluminium to uncertainty shock,sugar_wld,nickel,0.023148699085422688,0.04812867886605736
GIRF — aluminium to uncertainty shock,sugar_wld,soybeans,0.019555193728178488,0.04084262387177953
GIRF — aluminium to uncertainty shock,sugar_wld,gold,0.014500685378359825,0.034617068705676435
GIRF — aluminium to uncertainty shock,sugar_wld,maize,0.01373095623022766,0.05306247207448277
GIRF — aluminium to uncertainty shock,sugar_wld,cotton_a_indx,0.009331489950117986,0.020331815637866835
GIRF — aluminium to uncertainty shock,sugar_wld,zinc,0.007178153432700262,0.02129868683710999
GIRF — aluminium to uncertainty shock,sugar_wld,platinum,0.003924441034636239,0.010471365532607904
GIRF — aluminium to uncertainty shock,sugar_wld,aluminium,0.0035108978982658755,0.008831428377988797
GIRF — aluminium to uncertainty shock,sugar_wld,silver,0.003104365326605172,0.00840303997626517
GIRF — aluminium to uncertainty shock,sugar_wld,ngas_us,0.0026727025491199833,0.020156371433981017
GIRF — aluminium to uncertainty shock,sugar_wld,wheat_us_hrw,0.0026541907634330527,0.017529540085434975
GIRF — aluminium to uncertainty shock,sugar_wld,coffee_arabic,0.002644215121057174,0.024247191047551728
GIRF — aluminium to uncertainty shock,sugar_wld,cocoa,0.0021282570726297986,0.006080267568839691
GIRF — aluminium to uncertainty shock,sugar_wld,crude_wti,0.0016386768812846095,0.004484705000114893
GIRF — aluminium to uncertainty shock,sugar_wld,tin,-0.0015414804232622027,0.01518142609700733
GIRF — aluminium to uncertainty shock,sugar_wld,lead,-3.31706332123451e-4,0.0023858145999635936
GIRF — aluminium to uncertainty shock,sugar_wld,copper,1.4209303147093028e-4,0.012578625279159098
GIRF — aluminium to uncertainty shock,tin,tin,0.15757072413329246,0.3379434357198177
GIRF — aluminium to uncertainty shock,tin,platinum,-0.016473709486618665,0.034679565405676196
GIRF — aluminium to uncertainty shock,tin,soybeans,-0.016131944018504787,0.023848918000185234
GIRF — aluminium to uncertainty shock,tin,lead,-0.01194555787058298,0.01495289455374557
GIRF — aluminium to uncertainty shock,tin,aluminium,0.005352881934826824,0.01276838639041223
GIRF — aluminium to uncertainty shock,tin,coffee_arabic,-0.005139644652349139,0.01147619229444791
GIRF — aluminium to uncertainty shock,tin,maize,-0.0027121794487849696,0.02374849584439996
GIRF — aluminium to uncertainty shock,tin,wheat_us_hrw,-0.0024831954463689406,0.0053882049444328745
GIRF — aluminium to uncertainty shock,tin,zinc,-0.0023510992853016588,0.007790369801759304
GIRF — aluminium to uncertainty shock,tin,copper,-0.00222043481511366,0.004096817759533357
GIRF — aluminium to uncertainty shock,tin,cocoa,-0.00211228069886219,0.0065846280793982635
GIRF — aluminium to uncertainty shock,tin,gold,-0.002052090383802619,0.005403606663251877
GIRF — aluminium to uncertainty shock,tin,ngas_us,-0.001931650226985284,0.0030787065911204907
GIRF — aluminium to uncertainty shock,tin,nickel,-0.001697666686232495,0.014839487726171894
GIRF — aluminium to uncertainty shock,tin,sugar_wld,-0.0013441829748029772,0.008893060283280088
GIRF — aluminium to uncertainty shock,tin,crude_wti,-6.95885863987449e-4,0.007639293731360028
GIRF — aluminium to uncertainty shock,tin,silver,-1.459138445358678e-4,0.0038766640079126212
GIRF — aluminium to uncertainty shock,tin,cotton_a_indx,1.1821006883696683e-4,0.008831728712060071
GIRF — aluminium to uncertainty shock,wheat_us_hrw,wheat_us_hrw,0.15318720141512496,0.3815504036262999
GIRF — aluminium to uncertainty shock,wheat_us_hrw,zinc,0.022035478691985997,0.09979699249543561
GIRF — aluminium to uncertainty shock,wheat_us_hrw,nickel,0.011839202538386011,0.05848405812659904
GIRF — aluminium to uncertainty shock,wheat_us_hrw,maize,-0.010471087315869935,0.04836516236213093
GIRF — aluminium to uncertainty shock,wheat_us_hrw,soybeans,-0.007140934928834395,0.029994005004520402
GIRF — aluminium to uncertainty shock,wheat_us_hrw,aluminium,0.005850009897895851,0.021733345120593068
