t,variable,value,scenario,is_baseline,regime,uncertainty,value_lo,value_hi
1,cocoa,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,cocoa,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,cocoa,-0.016157121481406578,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,cocoa,0.013347885664161842,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,cocoa,-5.596827618495597e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,cocoa,-0.0037357702632069348,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,cocoa,-0.00269821526406457,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,cocoa,-0.0016034362987753948,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,coffee_arabic,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,coffee_arabic,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,coffee_arabic,0.011391146326280362,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,coffee_arabic,0.00786876698318399,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,coffee_arabic,0.005963825379506436,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,coffee_arabic,0.00241204889014286,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,coffee_arabic,7.037581311544015e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,coffee_arabic,1.906851218593249e-5,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,copper,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,copper,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,copper,0.021786095044570058,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,copper,0.032664031376472565,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,copper,0.01575734696537213,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,copper,0.005222779571300035,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,copper,9.49065024730405e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,copper,-4.2681713585831507e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,cotton_a_indx,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,cotton_a_indx,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,cotton_a_indx,0.10089666224974993,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,cotton_a_indx,0.06743541717821246,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,cotton_a_indx,0.03288493686978291,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,cotton_a_indx,0.012661487935256635,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,cotton_a_indx,0.003806191812160685,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
