scenario,regime,variable,t,sum_contrib,uncertainty,delta,residual
GIRF — aluminium to uncertainty shock,combined,maize,9,-0.09614748964358354,vxo,-0.09614748964358352,1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,maize,10,0.30603519563120185,vxo,0.30603519563120185,0
GIRF — aluminium to uncertainty shock,combined,maize,11,-0.056152166211731414,vxo,-0.05615216621173141,6.938893903907228e-18
GIRF — aluminium to uncertainty shock,combined,maize,12,-0.17014723364420295,vxo,-0.17014723364420292,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,maize,13,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,14,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,15,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,16,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,17,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,18,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,19,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,20,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,21,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,22,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,23,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,24,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,1,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,2,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,3,-0.17491988230855376,vxo,-0.1749198823085538,-2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,ngas_us,4,0.19665686718300926,vxo,0.1966568671830093,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,ngas_us,5,-0.03239538109010193,vxo,-0.03239538109010193,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,6,0.006961141849713528,vxo,0.00696114184971353,1.734723475976807e-18
GIRF — aluminium to uncertainty shock,combined,ngas_us,7,0.06337909792065244,vxo,0.06337909792065244,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,8,-0.08876313929607628,vxo,-0.08876313929607627,1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,ngas_us,9,-0.08658203008307686,vxo,-0.08658203008307687,-1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,ngas_us,10,0.2932868670763848,vxo,0.2932868670763848,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,11,0.07441805437386428,vxo,0.07441805437386427,-1.3877787807814457e-17
