uncertainty,scenario,regime,variable,t,shocked,baseline,delta
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,9,0.01950886847414009,0,0.01950886847414009
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,10,0.14034999382997296,0,0.14034999382997296
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,11,-0.01458257539546851,0,-0.01458257539546851
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,12,-0.1161045683166388,0,-0.1161045683166388
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,13,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,14,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,15,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,16,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,17,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,18,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,19,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,20,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,21,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,22,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,23,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,24,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,1,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,2,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,3,0.14056538170659802,0,0.14056538170659802
vix,GIRF — aluminium to uncertainty shock,combined,nickel,4,0.03982821415887724,0,0.03982821415887724
vix,GIRF — aluminium to uncertainty shock,combined,nickel,5,-0.03520217634346639,0,-0.03520217634346639
vix,GIRF — aluminium to uncertainty shock,combined,nickel,6,0.0577365447142494,0,0.0577365447142494
vix,GIRF — aluminium to uncertainty shock,combined,nickel,7,0.0982484696777874,0,0.0982484696777874
vix,GIRF — aluminium to uncertainty shock,combined,nickel,8,-0.08757729857830028,0,-0.08757729857830028
vix,GIRF — aluminium to uncertainty shock,combined,nickel,9,-0.13006477602706298,0,-0.13006477602706298
vix,GIRF — aluminium to uncertainty shock,combined,nickel,10,0.09026660148739414,0,0.09026660148739414
vix,GIRF — aluminium to uncertainty shock,combined,nickel,11,0.10125415082807264,0,0.10125415082807264
vix,GIRF — aluminium to uncertainty shock,combined,nickel,12,-0.092305088665474,0,-0.092305088665474
vix,GIRF — aluminium to uncertainty shock,combined,nickel,13,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,14,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,15,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,16,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,17,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,18,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,19,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,20,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,21,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,22,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,23,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,nickel,24,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,1,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,2,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,3,0.05081698949593676,0,0.05081698949593676
vix,GIRF — aluminium to uncertainty shock,combined,platinum,4,-0.08116673041284497,0,-0.08116673041284497
vix,GIRF — aluminium to uncertainty shock,combined,platinum,5,-0.00275134969524385,0,-0.00275134969524385
vix,GIRF — aluminium to uncertainty shock,combined,platinum,6,0.0937078434524167,0,0.0937078434524167
vix,GIRF — aluminium to uncertainty shock,combined,platinum,7,0.07656458482153296,0,0.07656458482153296
vix,GIRF — aluminium to uncertainty shock,combined,platinum,8,-0.11584785474987126,0,-0.11584785474987126
vix,GIRF — aluminium to uncertainty shock,combined,platinum,9,-0.09047292363004844,0,-0.09047292363004844
vix,GIRF — aluminium to uncertainty shock,combined,platinum,10,0.0834262823121568,0,0.0834262823121568
vix,GIRF — aluminium to uncertainty shock,combined,platinum,11,0.0354921070173891,0,0.0354921070173891
vix,GIRF — aluminium to uncertainty shock,combined,platinum,12,-0.10570532103403854,0,-0.10570532103403854
vix,GIRF — aluminium to uncertainty shock,combined,platinum,13,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,14,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,15,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,16,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,17,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,18,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,19,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,20,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,21,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,22,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,23,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,platinum,24,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,silver,1,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,silver,2,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,silver,3,0.06333435068685901,0,0.06333435068685901
vix,GIRF — aluminium to uncertainty shock,combined,silver,4,0.04213917739319409,0,0.04213917739319409
vix,GIRF — aluminium to uncertainty shock,combined,silver,5,-0.02575710550312011,0,-0.02575710550312011
vix,GIRF — aluminium to uncertainty shock,combined,silver,6,-0.03296446451503998,0,-0.03296446451503998
vix,GIRF — aluminium to uncertainty shock,combined,silver,7,0.01688005748422677,0,0.01688005748422677
vix,GIRF — aluminium to uncertainty shock,combined,silver,8,-0.03692843490508049,0,-0.03692843490508049
vix,GIRF — aluminium to uncertainty shock,combined,silver,9,-0.08075418486562273,0,-0.08075418486562273
vix,GIRF — aluminium to uncertainty shock,combined,silver,10,-0.02398677941763286,0,-0.02398677941763286
vix,GIRF — aluminium to uncertainty shock,combined,silver,11,0.02007981586751722,0,0.02007981586751722
vix,GIRF — aluminium to uncertainty shock,combined,silver,12,-0.00119493108488446,0,-0.00119493108488446
vix,GIRF — aluminium to uncertainty shock,combined,silver,13,0,0,0
